key,en
"contact.description","Ready to start your project? Let's discuss how we can help bring your ideas to life."
contact.form.heading,Share your challenge
contact.form.name.label,Name *
contact.form.name.placeholder,Full name
contact.form.email.label,Email *
contact.form.email.placeholder,work.email@company.com
contact.form.company.label,Company
contact.form.company.placeholder,Organization (optional)
contact.form.message.label,Message *
contact.form.message.placeholder,What problem are we solving together?
contact.form.submit,Request a consultation
"contact.form.error","Something went wrong while sending your message. Please try again."
"contact.form.success","Thank you for your message! We will get back to you soon."
contact.info.email.label,Email
contact.info.email.value,info@synerityai.com
contact.info.phone.label,Phone
contact.info.phone.value,+91 7028666157
contact.info.location.label,Location
"contact.info.location.value","Pune, Maharashtra, India"
contact.map.title,Synerity Office Location
contact.resources.button,Download our capability deck
contact.hire.heading,Looking to Hire Developers?
"contact.hire.description","We offer technical interview support and dedicated developer teams tailored to your needs."
contact.hire.primary,Hire Developers
contact.hire.secondary,Learn More
"footer.brand.description","Empowering companies with synergy and integrity. Building technology solutions that drive business growth and digital transformation."
footer.sections.company.title,Company
footer.sections.services.title,Services
footer.sections.resources.title,Resources
footer.links.about,About Us
footer.links.process,Our Process
footer.links.portfolio,Portfolio
footer.links.contact,Contact
footer.links.webDevelopment,Web Development
footer.links.productEngineering,Product Engineering
footer.links.cloudDevops,Cloud & DevOps
footer.links.consulting,Consulting
footer.links.techStack,Tech Stack
footer.links.blog,Blog
footer.links.careers,Careers
footer.links.privacy,Privacy Policy
footer.links.terms,Terms of Service
footer.links.cookie,Cookie Policy
footer.social.linkedin,LinkedIn
footer.social.twitter,Twitter
footer.social.github,GitHub
footer.social.facebook,Facebook
footer.bottom.copyright,© 2025 Synerity Pvt. Ltd. All rights reserved.

